"R_group"	"Substitution count"	"R-group to search for"	"Isostere substitution"	"Reaction (SMARTS)"
"C[*]"	14613	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C[*]"	11518	"[#6&D1]-*"	"[#17&D1]-*"	"[#6&D1]-[*:1]>>[#17&D1]-[*:1]"
"C[*]"	8873	"[#6&D1]-*"	"[#6&D1]-[#8&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"C[*]"	8034	"[#6&D1]-*"	"[#9&D1]-*"	"[#6&D1]-[*:1]>>[#9&D1]-[*:1]"
"C[*]"	5975	"[#6&D1]-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#6&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"C[*]"	5931	"[#6&D1]-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]"	5684	"[#6&D1]-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6&D1]-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C[*]"	4819	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	3484	"[#6&D1]-*"	"[#35&D1]-*"	"[#6&D1]-[*:1]>>[#35&D1]-[*:1]"
"C[*]"	2544	"[#6&D1]-*"	"[#7&D1]-*"	"[#6&D1]-[*:1]>>[#7&D1]-[*:1]"
"C[*]"	2318	"[#6&D1]-*"	"[#8&D1]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[*:1]"
"C[*]"	2316	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	2212	"[#6&D1]-*"	"[#7&D1]#[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"C[*]"	2193	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[*:1]"
"C[*]"	1906	"[#6&D1]-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]"	1828	"[#6&D1]-*"	"[#8&D1]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[*:1]"
"C[*]"	1670	"[#6&D1]-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C[*]"	1647	"[#6&D1]-*"	"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"C[*]"	1506	"[#6&D1]-*"	"[#8&D1]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	1273	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-1-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C[*]"	2318	"[#6&D1]-*"	"[#8&D1]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[*:1]"
"C[*]"	8034	"[#6&D1]-*"	"[#9&D1]-*"	"[#6&D1]-[*:1]>>[#9&D1]-[*:1]"
"C[*]"	2544	"[#6&D1]-*"	"[#7&D1]-*"	"[#6&D1]-[*:1]>>[#7&D1]-[*:1]"
"C[*]"	5684	"[#6&D1]-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6&D1]-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C[*]"	11518	"[#6&D1]-*"	"[#17&D1]-*"	"[#6&D1]-[*:1]>>[#17&D1]-[*:1]"
"C[*]"	8873	"[#6&D1]-*"	"[#6&D1]-[#8&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"C[*]"	506	"[#6&D1]-*"	"[#6&D3](-[#8&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#8&D1])(=[#8&D1])-[*:1]"
"C[*]"	14613	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C[*]"	5931	"[#6&D1]-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]"	5975	"[#6&D1]-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#6&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"C[*]"	465	"[#6&D1]-*"	"[#6&D3](-[#7&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#7&D1])(=[#8&D1])-[*:1]"
"C[*]"	2212	"[#6&D1]-*"	"[#7&D1]#[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"C[*]"	1670	"[#6&D1]-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C[*]"	1906	"[#6&D1]-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]"	1828	"[#6&D1]-*"	"[#8&D1]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[*:1]"
"C[*]"	1231	"[#6&D1]-*"	"[#6&D3](=[#8&D1])(-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](=[#8&D1])(-[#6&D1])-[*:1]"
"C[*]"	3484	"[#6&D1]-*"	"[#35&D1]-*"	"[#6&D1]-[*:1]>>[#35&D1]-[*:1]"
"C[*]"	538	"[#6&D1]-*"	"[#6&D3](-[#8&D1])(=[#8&D1])-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#8&D1])(=[#8&D1])-[#6&D2]-[*:1]"
"C[*]"	36	"[#6&D1]-*"	"[#6&D3](-[#7&D1])(=[#7&D1])-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#7&D1])(=[#7&D1])-[*:1]"
"C[*]"	4819	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	1100	"[#6&D1]-*"	"[#6&D1]-[#7&D3](-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#7&D3](-[#6&D1])-[*:1]"
"C[*]"	1056	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#8&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#8&D2]-[*:1]"
"C[*]"	2193	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[*:1]"
"C[*]"	991	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C[*]"	337	"[#6&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]"
"C[*]"	706	"[#6&D1]-*"	"[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[*:1]"
"C[*]"	2316	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	1647	"[#6&D1]-*"	"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"C[*]"	647	"[#6&D1]-*"	"[#6&D1]-[#7&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#7&D2]-[*:1]"
"C[*]"	394	"[#6&D1]-*"	"[#8&D1]-[#6&D3](=[#8&D1])-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D3](=[#8&D1])-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	653	"[#6&D1]-*"	"[#6&D1]-[#8&D2]-[#6&D3](=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#8&D2]-[#6&D3](=[#8&D1])-[*:1]"
"C[*]"	320	"[#6&D1]-*"	"[#7&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	307	"[#6&D1]-*"	"[#6&D3](-[#6&D1])(=[#8&D1])-[#7&D2]-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(=[#8&D1])-[#7&D2]-[*:1]"
"C[*]"	112	"[#6&D1]-*"	"[#7&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#7&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[*:1]"
"C[*]"	486	"[#6&D1]-*"	"[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-*"	"[#6&D1]-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-[*:1]"
"C[*]"	387	"[#6&D1]-*"	"[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6&D1]-[*:1]>>[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C[*]"	395	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-[*:1]"
"C[*]"	414	"[#6&D1]-*"	"[#6]1:[#6]:[#7]:[#6]:[#6]:[#6]:1-*"	"[#6&D1]-[*:1]>>[#6]1:[#6]:[#7]:[#6]:[#6]:[#6]:1-[*:1]"
"C[*]"	250	"[#6&D1]-*"	"[#8&D1]-[#6&D3](-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D3](-[#6&D1])-[*:1]"
"C[*]"	298	"[#6&D1]-*"	"[#6&D3](-[#7&D1])(=[#8&D1])-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6&D3](-[#7&D1])(=[#8&D1])-[#6&D2]-[*:1]"
"C[*]"	159	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"C[*]"	306	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#8&D2]-[#6&D3](=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#8&D2]-[#6&D3](=[#8&D1])-[*:1]"
"C[*]"	555	"[#6&D1]-*"	"[#6&D1]-[#16&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#16&D2]-[*:1]"
"C[*]"	822	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C[*]"	193	"[#6&D1]-*"	"[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-[#6&D2]-[*:1]"
"C[*]"	152	"[#6&D1]-*"	"[#7&D1]-[#6&D3](=[#8&D1])-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7&D1]-[#6&D3](=[#8&D1])-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	310	"[#6&D1]-*"	"[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-[*:1]"
"C[*]"	368	"[#6&D1]-*"	"[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6&D1]-[*:1]>>[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C[*]"	150	"[#6&D1]-*"	"[#6&D1]-[#7&D2]-[#6&D3](=[#8&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#7&D2]-[#6&D3](=[#8&D1])-[*:1]"
"C[*]"	1273	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-1-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C[*]"	25	"[#6&D1]-*"	"[#16&D1]-*"	"[#6&D1]-[*:1]>>[#16&D1]-[*:1]"
"C[*]"	238	"[#6&D1]-*"	"[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6&D1]-[*:1]>>[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C[*]"	1506	"[#6&D1]-*"	"[#8&D1]-[#6&D2]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]"	686	"[#6&D1]-*"	"[#6&D4](-[#9&D1])(-[#9&D1])(-[#9&D1])-[#8&D2]-*"	"[#6&D1]-[*:1]>>[#6&D4](-[#9&D1])(-[#9&D1])(-[#9&D1])-[#8&D2]-[*:1]"
"C[*]"	105	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-[*:1]"
"C[*]"	309	"[#6&D1]-*"	"[#7&D1]-[#6&D2]-*"	"[#6&D1]-[*:1]>>[#7&D1]-[#6&D2]-[*:1]"
"C[*]"	661	"[#6&D1]-*"	"[#53&D1]-*"	"[#6&D1]-[*:1]>>[#53&D1]-[*:1]"
"C[*]"	321	"[#6&D1]-*"	"[#6&D1]-[#6&D2]-[#7&D2]-*"	"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#7&D2]-[*:1]"
"O[*]"	8861	"[#8&D1]-*"	"[#6&D1]-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"O[*]"	4124	"[#8&D1]-*"	"[#7&D1]-*"	"[#8&D1]-[*:1]>>[#7&D1]-[*:1]"
"O[*]"	2355	"[#8&D1]-*"	"[#9&D1]-*"	"[#8&D1]-[*:1]>>[#9&D1]-[*:1]"
"O[*]"	2318	"[#8&D1]-*"	"[#6&D1]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[*:1]"
"O[*]"	1882	"[#8&D1]-*"	"[#6&D1]-[#6&D2]-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#8&D2]-[*:1]"
"O[*]"	1661	"[#8&D1]-*"	"[#17&D1]-*"	"[#8&D1]-[*:1]>>[#17&D1]-[*:1]"
"O[*]"	1325	"[#8&D1]-*"	"[#6&D1]-[#7&D3](-[#6&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#7&D3](-[#6&D1])-[*:1]"
"O[*]"	843	"[#8&D1]-*"	"[#6&D3](-[#7&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#7&D1])(=[#8&D1])-[*:1]"
"O[*]"	778	"[#8&D1]-*"	"[#7&D1]#[#6&D2]-*"	"[#8&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"O[*]"	750	"[#8&D1]-*"	"[#6&D3](-[#8&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#8&D1])(=[#8&D1])-[*:1]"
"O[*]"	725	"[#8&D1]-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#8&D1]-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"O[*]"	701	"[#8&D1]-*"	"[#6&D1]-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#7&D2]-[*:1]"
"O[*]"	671	"[#8&D1]-*"	"[#35&D1]-*"	"[#8&D1]-[*:1]>>[#35&D1]-[*:1]"
"O[*]"	667	"[#8&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#8&D1]-[*:1]>>[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]"
"O[*]"	663	"[#8&D1]-*"	"[#6&D3](-[#6&D1])(=[#8&D1])-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#6&D1])(=[#8&D1])-[#8&D2]-[*:1]"
"O[*]"	663	"[#8&D1]-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#8&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"O[*]"	622	"[#8&D1]-*"	"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"O[*]"	613	"[#8&D1]-*"	"[#8&D1]-[#6&D2]-*"	"[#8&D1]-[*:1]>>[#8&D1]-[#6&D2]-[*:1]"
"O[*]"	528	"[#8&D1]-*"	"[#8&D1]-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#8&D1]-[#7&D2]-[*:1]"
"O[*]"	519	"[#8&D1]-*"	"[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[#7&D2]-[*:1]"
"O[*]"	2318	"[#8&D1]-*"	"[#6&D1]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[*:1]"
"O[*]"	2355	"[#8&D1]-*"	"[#9&D1]-*"	"[#8&D1]-[*:1]>>[#9&D1]-[*:1]"
"O[*]"	4124	"[#8&D1]-*"	"[#7&D1]-*"	"[#8&D1]-[*:1]>>[#7&D1]-[*:1]"
"O[*]"	1661	"[#8&D1]-*"	"[#17&D1]-*"	"[#8&D1]-[*:1]>>[#17&D1]-[*:1]"
"O[*]"	8861	"[#8&D1]-*"	"[#6&D1]-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"O[*]"	750	"[#8&D1]-*"	"[#6&D3](-[#8&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#8&D1])(=[#8&D1])-[*:1]"
"O[*]"	663	"[#8&D1]-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#8&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"O[*]"	843	"[#8&D1]-*"	"[#6&D3](-[#7&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#7&D1])(=[#8&D1])-[*:1]"
"O[*]"	778	"[#8&D1]-*"	"[#7&D1]#[#6&D2]-*"	"[#8&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"O[*]"	613	"[#8&D1]-*"	"[#8&D1]-[#6&D2]-*"	"[#8&D1]-[*:1]>>[#8&D1]-[#6&D2]-[*:1]"
"O[*]"	671	"[#8&D1]-*"	"[#35&D1]-*"	"[#8&D1]-[*:1]>>[#35&D1]-[*:1]"
"O[*]"	34	"[#8&D1]-*"	"[#7&D2](=[#6&D3](-[#7&D1])-[#7&D1])-*"	"[#8&D1]-[*:1]>>[#7&D2](=[#6&D3](-[#7&D1])-[#7&D1])-[*:1]"
"O[*]"	1325	"[#8&D1]-*"	"[#6&D1]-[#7&D3](-[#6&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#7&D3](-[#6&D1])-[*:1]"
"O[*]"	1882	"[#8&D1]-*"	"[#6&D1]-[#6&D2]-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#8&D2]-[*:1]"
"O[*]"	667	"[#8&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#8&D1]-[*:1]>>[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]"
"O[*]"	299	"[#8&D1]-*"	"[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[*:1]"
"O[*]"	622	"[#8&D1]-*"	"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"O[*]"	701	"[#8&D1]-*"	"[#6&D1]-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#7&D2]-[*:1]"
"O[*]"	348	"[#8&D1]-*"	"[#6&D1]-[#8&D2]-[#6&D3](=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#8&D2]-[#6&D3](=[#8&D1])-[*:1]"
"O[*]"	502	"[#8&D1]-*"	"[#6&D3](-[#6&D1])(=[#8&D1])-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#6&D3](-[#6&D1])(=[#8&D1])-[#7&D2]-[*:1]"
"O[*]"	528	"[#8&D1]-*"	"[#8&D1]-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#8&D1]-[#7&D2]-[*:1]"
"O[*]"	116	"[#8&D1]-*"	"[#7&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#7&D1]-[#16&D4](=[#8&D1])(=[#8&D1])-[*:1]"
"O[*]"	288	"[#8&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-*"	"[#8&D1]-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"O[*]"	90	"[#8&D1]-*"	"[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#8&D1]-[*:1]>>[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"O[*]"	297	"[#8&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#7]-1-*"	"[#8&D1]-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"O[*]"	136	"[#8&D1]-*"	"[#6&D1]-[#6&D2]-[#8&D2]-[#6&D3](=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#8&D2]-[#6&D3](=[#8&D1])-[*:1]"
"O[*]"	277	"[#8&D1]-*"	"[#6&D1]-[#16&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#16&D2]-[*:1]"
"O[*]"	194	"[#8&D1]-*"	"[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-[*:1]"
"O[*]"	8	"[#8&D1]-*"	"[#15&D4](-[#8&D1])(-[#8&D1])(=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#15&D4](-[#8&D1])(-[#8&D1])(=[#8&D1])-[*:1]"
"O[*]"	120	"[#8&D1]-*"	"[#6&D1]-[#7&D2]-[#6&D3](=[#8&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#7&D2]-[#6&D3](=[#8&D1])-[*:1]"
"O[*]"	144	"[#8&D1]-*"	"[#16&D1]-*"	"[#8&D1]-[*:1]>>[#16&D1]-[*:1]"
"O[*]"	175	"[#8&D1]-*"	"[#6&D4](-[#9&D1])(-[#9&D1])(-[#9&D1])-[#8&D2]-*"	"[#8&D1]-[*:1]>>[#6&D4](-[#9&D1])(-[#9&D1])(-[#9&D1])-[#8&D2]-[*:1]"
"O[*]"	225	"[#8&D1]-*"	"[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-[*:1]"
"O[*]"	137	"[#8&D1]-*"	"[#7&D1]-[#6&D2]-*"	"[#8&D1]-[*:1]>>[#7&D1]-[#6&D2]-[*:1]"
"O[*]"	230	"[#8&D1]-*"	"[#53&D1]-*"	"[#8&D1]-[*:1]>>[#53&D1]-[*:1]"
"O[*]"	187	"[#8&D1]-*"	"[#6&D1]-[#6&D2]-[#7&D2]-*"	"[#8&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#7&D2]-[*:1]"
"F[*]"	13683	"[#9&D1]-*"	"[#17&D1]-*"	"[#9&D1]-[*:1]>>[#17&D1]-[*:1]"
"F[*]"	8034	"[#9&D1]-*"	"[#6&D1]-[#8&D2]-*"	"[#9&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"F[*]"	8034	"[#9&D1]-*"	"[#6&D1]-*"	"[#9&D1]-[*:1]>>[#6&D1]-[*:1]"
"F[*]"	4155	"[#9&D1]-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#9&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"F[*]"	4132	"[#9&D1]-*"	"[#35&D1]-*"	"[#9&D1]-[*:1]>>[#35&D1]-[*:1]"
"F[*]"	2680	"[#9&D1]-*"	"[#7&D1]#[#6&D2]-*"	"[#9&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"F[*]"	2355	"[#9&D1]-*"	"[#8&D1]-*"	"[#9&D1]-[*:1]>>[#8&D1]-[*:1]"
"F[*]"	1721	"[#9&D1]-*"	"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-*"	"[#9&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"F[*]"	1077	"[#9&D1]-*"	"[#53&D1]-*"	"[#9&D1]-[*:1]>>[#53&D1]-[*:1]"
